City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,kodiak,57.79,-152.4072,9.51,76,75,1.91,US,1723219343
168,kochi,9.9399,76.2602,25.98,88,36,3.49,IN,1723219343
169,rumbek,6.802,29.6912,25.12,84,100,2.19,SS,1723219343
170,orel,52.9658,36.0803,21.02,59,97,1.55,RU,1723219343
171,bogande,12.9714,-0.1436,30.77,58,95,4.24,BF,1723219344
172,aasiaat,68.7098,-52.8699,3.26,93,100,1.31,GL,1723219344
173,ust-nera,64.5667,143.2,15.31,62,98,3.13,RU,1723219344
174,uberlandia,-18.9186,-48.2772,25.56,44,3,4.63,BR,1723219323
175,kapa'a,22.0752,-159.319,22.28,82,29,3.19,US,1723219344
176,nar'yan-mar,67.6713,53.087,14.84,66,10,3.81,RU,1723219344
177,knyaze-volkonskoye,48.4642,135.4567,16.01,96,72,3.4,RU,1723219344
178,kasese,0.1833,30.0833,27.25,47,70,1.5,UG,1723219345
179,ilulissat,69.2167,-51.1,7.01,87,75,2.57,GL,1723219345
180,hermanus,-34.4187,19.2345,13.65,77,37,12.49,ZA,1723219345
181,qaqortoq,60.7167,-46.0333,6.66,87,97,2.55,GL,1723219345
182,tidjikja,18.5564,-11.4271,36.68,25,42,3.48,MR,1723219345
183,polyarnyy,69.1989,33.4478,19.13,45,1,5.95,RU,1723219345
184,yamada,39.4667,141.95,21.76,88,74,1.78,JP,1723219346
185,usinsk,65.9939,57.5281,15.7,57,7,4.7,RU,1723219346
186,santa cruz del sur,20.7147,-77.9956,31.15,60,100,3.87,CU,1723219346
187,torghay,49.6339,63.4981,19.31,58,100,5.63,KZ,1723219346
188,saldanha,-33.0117,17.9442,13.47,85,37,7.32,ZA,1723219346
189,kyzyl-suu,42.3414,78.0056,21.07,40,38,2.18,KG,1723219346
190,bamboo flat,11.7,92.7167,28.05,89,20,1.03,IN,1723219347
191,port isabel,26.0734,-97.2086,33.34,75,75,5.66,US,1723219347
192,longyearbyen,78.2186,15.6401,14.91,72,40,2.06,SJ,1723219347
193,la mira,18.035,-102.3266,28.8,79,100,2.9,MX,1723219347
194,champerico,14.3,-91.9167,25.64,89,99,6.52,GT,1723219347
195,kidal,18.4411,1.4078,39.88,17,99,1.55,ML,1723219347
196,richards bay,-28.783,32.0377,20.24,67,0,2.33,ZA,1723219078
197,al kharijah,25.4514,30.5464,41.82,14,5,1.97,EG,1723219348
198,dingli,35.8614,14.3822,30.09,62,20,3.6,MT,1723219348
199,puerto carreno,6.189,-67.4859,28.99,74,20,2.06,CO,1723219348
200,san-pedro,4.7485,-6.6363,25.37,79,98,4.23,CI,1723219348
201,al 'amarah,31.8406,47.1396,43.67,10,0,6.32,IQ,1723219349
202,fort mcmurray,56.7268,-111.381,16.77,63,0,1.03,CA,1723219207
203,salekhard,66.53,66.6019,11.94,71,59,5.87,RU,1723219349
204,batroun,34.2553,35.6581,27.95,71,0,4.48,LB,1723219349
205,nouadhibou,20.931,-17.0347,23.99,73,31,11.32,MR,1723219349
206,lewistown,40.5992,-77.5714,25.67,88,100,4.12,US,1723219349
207,nicastro,38.9833,16.3167,28.21,62,3,8.23,IT,1723219350
208,lycksele,64.5954,18.6735,19.93,56,0,6.17,SE,1723219350
209,newman,37.3138,-121.0208,28.89,23,0,1.8,US,1723219350
210,susuman,62.7833,148.1667,12.96,55,93,2.67,RU,1723219350
211,dunedin,-45.8742,170.5036,3.78,94,0,2.04,NZ,1723219175
212,port alfred,-33.5906,26.891,16.77,77,6,1.34,ZA,1723219350
213,tual,-5.6667,132.75,25.29,84,71,9.08,ID,1723219350
214,pointe-noire,-4.7761,11.8635,24.04,78,40,4.63,CG,1723219216
215,northam,51.0333,-4.2167,18.31,75,76,6.85,GB,1723219351
216,heiligenhaus,51.3266,6.9711,22.46,76,40,3.6,DE,1723219351
217,brumunddal,60.881,10.9395,13.83,99,100,1.58,NO,1723219276
218,crane,31.3974,-102.3501,31.09,40,0,5.26,US,1723219351
219,las lomitas,-24.7096,-60.593,16.3,30,0,3.25,AR,1723219351
220,bongaree,-27.0797,153.1586,17.35,78,21,4.3,AU,1723219351
221,tralee,52.2704,-9.7026,18.14,77,20,9.26,IE,1723219352
222,otoka,44.96,16.1792,30.73,38,35,2.12,BA,1723219352
